id,dataHoraInicio,dataHoraFim,descricao,descricaoTipo,situacao,id_orgao_organizador
75321,2025-03-26T10:00:00.000Z,null,Eleição de Vice-Presidentes,Reunião de Eleição,Cancelada,2001
75647,2025-03-26T10:45:00.000Z,2025-03-26T11:21:00.000Z,Discussão e votação de propostas legislativas,Reunião Deliberativa,Encerrada (Final),2016
75650,2025-03-26T10:45:00.000Z,2025-03-26T11:50:00.000Z,Discussão e votação de propostas legislativas,Reunião Deliberativa,Encerrada (Final),2003
75652,2025-04-02T09:00:00.000Z,null,"Eleição para vaga na Comissão Mista de Controle das Atividades de Inteligência do Congresso Nacional (CCAI)
 Eleição para  vaga na Comissão Mista de Controle das Atividades de Inteligência do Congresso Nacional (CCAI), de que trata a alínea ""e"", inciso III, do art. 7º da Resolução nº 2, de 2013-CN",Reunião de Eleição,Cancelada,2018
75666,2025-03-25T14:29:00.000Z,2025-03-25T15:58:00.000Z,"Discussão e votação de propostas legislativas
 A -  Acordo de Procedimentos",Reunião Deliberativa,Encerrada (Final),5503
75683,2025-04-02T10:00:00.000Z,2025-04-02T10:53:00.000Z,"Plano Anual de Fiscalização e Controle (PAFC 2025)  e deliberação de propostas legislativas
 A - Plano Anual de Fiscalização e Controle (PAFC-2025)",Reunião Deliberativa,Encerrada (Termo),2011
75728,2025-04-02T11:23:00.000Z,2025-04-02T12:37:00.000Z,Discussão e votação de propostas legislativas.,Reunião Deliberativa,Encerrada (Final),2004
75760,2025-04-01T13:56:00.000Z,2025-04-01T21:33:00.000Z,Sessão Deliberativa Extraordinária Presencial (AM nº 123/2020),Sessão Deliberativa,Encerrada,180
75820,2025-04-09T10:15:00.000Z,2025-04-09T11:12:00.000Z,Discussão e votação de propostas legislativas,Reunião Deliberativa,Encerrada (Final),2008
75886,2025-04-09T10:40:00.000Z,2025-04-09T12:35:00.000Z,Discussão e votação de propostas legislativas,Reunião Deliberativa,Encerrada (Final),2009
75901,2025-04-09T13:35:00.000Z,2025-04-09T13:43:00.000Z,Discussão e votação de propostas legislativas,Reunião Deliberativa,Encerrada (Final),537871
75847,2025-04-22T17:14:00.000Z,2025-04-22T18:55:00.000Z,"A importância da assistência fisioterapêutica nos serviços de saúde em que se realizam partos
 Requerimento nº 34/2025 CSAUDE, da Dep. Iza Arruda (MDB-PE)

Convidados confirmados:

- Alexandre Delgado (Participação Presencial)
Professor da pós-graduação stricto sensu em saúde integral do IMIP e Especialista em Fisioterapeuta em Saúde da Mulher COFFITO/ABRAFISM;

- Ana Carolina Pitangui (Participação Presencial)
Presidente da Associação Brasileira de Fisioterapia em Saúde da Mulher - ABRAFISM e Professora Associada do departamento de fisioterapia e do programa de reabilitação e desempenho funcional UPE; 

- Néville de Oliveira (Participação Presencial)
 Vice-Presidente da Associação Brasileira de Fisioterapia em Saúde da Mulher - ABRAFISM e Professora Adjunta do curso de fisioterapia da UFES; 

- Cristine Homsi (Participação Presencial)
Professora Titular do departamento de fisioterapia e do programa de reabilitação e desempenho funcional da USP Ribeirão Preto e diretora científica da Associação Brasileira de Fisioterapia em Saúde da Mulher - ABRAFISM;   

-  Sandroval Francisco Torres (Participação Presencial)
Presidente do Conselho Federal de Fisioterapia e Terapia Ocupacional - COFFITO; 

- Aline de Oliveira Costa (Participação Virtual)
 Diretora do Departamento de Atenção Hospitalar, Domiciliar e de Urgência - DAHU/SAES - 
 Ministério da Saúde.",Audiência Pública,Encerrada (Final),2014
75931,2025-04-30T10:05:00.000Z,2025-04-30T13:51:00.000Z,Comparecimento da Ministra de Estado da Cultura Margareth Menezes,Reunião de Comparecimento de Ministro(a),Encerrada (Final),536996
