id_frente,id_deputado,nome_deputado,partido,uf
53895,204372,Julio Cesar Ribeiro,REPUBLICANOS,DF
53895,204433,Marcelo Calero,null,RJ
53895,160635,Ruy Carneiro,PODE,PB
53897,178972,Alex Manente,CIDADANIA,SP
53897,159237,Assis Carvalho,null,PI
53897,204355,Da Vitoria,PP,ES
53897,141417,Edio Lopes,null,RR
53897,178871,Evair Vieira de Melo,PP,ES
53897,72442,Felipe Carreras,PSB,PE
53897,74270,Gilberto Nascimento,PSD,SP
53897,178981,Herculano Passos,null,SP
53897,151208,Laercio Oliveira,null,SE
53897,74299,Leônidas Cristino,null,CE
53897,150418,Márcio Marinho,REPUBLICANOS,BA
53897,204430,Margarete Coelho,null,PI
53897,178858,Mário Negromonte Jr.,PSB,BA
53897,204422,Ossesio Silva,null,PE
53897,160556,Padre João,PT,MG
53897,178951,Rafael Motta,null,RN
53897,74043,Wellington Roberto,PSD,PB
53902,204423,André Ferreira,PL,PE
53902,204352,Camilo Capiberibe,null,AP
53902,204507,Carla Zambelli,null,SP
53902,204496,Celso Sabino,PDT,PA
53902,141408,Cleber Verde,MDB,MA
53902,204409,Daniel Trzeciak,PSDB,RS
53902,178953,Expedito Netto,null,RO
53902,204392,Francisco Jr.,null,GO
53902,160570,Jerônimo Goergen,null,RS
53902,204429,João H. Campos,null,PE
53902,178857,Jorge Solla,PT,BA
53902,74299,Leônidas Cristino,null,CE
53902,196358,Lourival Gomes,null,RJ
53902,178997,Moses Rodrigues,UNIÃO,CE
53902,74693,Rodrigo Maia,null,RJ
53902,160610,Valmir Assunção,PT,BA
53887,160600,Arthur Oliveira Maia,UNIÃO,BA
53887,160758,Domingos Sávio,PL,MG
53887,92699,Fernando Monteiro,PSD,PE
53887,204392,Francisco Jr.,null,GO
53887,74366,João Campos,null,GO
53887,74299,Leônidas Cristino,null,CE
53887,178983,Marcio Alvino,PL,SP
53887,178952,Walter Alves,null,RN
53887,160592,Zeca Dirceu,PT,PR
53888,69871,Bacelar,PV,BA
53888,178829,Capitão Augusto,PL,SP
53888,204460,Carlos Jordy,PL,RJ
53888,204412,Dr. Zacharias Calil,UNIÃO,GO
53888,204442,Gurgel,null,RJ
53888,178842,Jhc,null,AL
53888,204382,Loester Trutis,null,MS
53888,204540,Maria Rosas,REPUBLICANOS,SP
53888,141488,Paulo Teixeira,PT,SP
53888,204524,Pinheirinho,PP,MG
53888,204530,Rodrigo Agostinho,null,SP
53888,204416,Sanderson,PL,RS
53888,178901,Tereza Cristina,null,MS
53888,204463,Wladimir Garotinho,null,RJ
53889,160655,Ricardo Izar,null,SP
53889,204554,Abílio Santana,null,BA
53889,204379,Acácio Favacho,MDB,AP
53889,204352,Camilo Capiberibe,null,AP
53889,178873,Helder Salomão,PT,ES
53889,74554,José Rocha,UNIÃO,BA
53889,204574,Junior Lourenço,MDB,MA
53889,162332,Luiz Nishimori,PSD,PR
53889,204441,Otoni de Paula,PSD,RJ
53889,160556,Padre João,PT,MG
53889,204530,Rodrigo Agostinho,null,SP
53892,204560,Adolfo Viana,PSDB,BA
53892,178882,André Fufuca,PP,MA
53892,204572,Capitão Alberto Neto,PL,AM
53892,204378,Coronel Chrisóstomo,PL,RO
53892,204562,Edilázio Júnior,null,MA
53892,160640,Eros Biondini,PL,MG
53892,204354,Flávia Arruda,null,DF
53892,204484,General Peternelli,null,SP
53892,204527,Geninho Zuliani,null,SP
53892,107283,Gleisi Hoffmann,PT,PR
53892,204531,Guilherme Derrite,PP,SP
53892,204539,Hercílio Coelho Diniz,MDB,MG
53892,160510,Luis Tibé,null,MG
53892,178956,Mariana Carvalho,null,RO
53892,146307,Neri Geller,null,MT
53892,204483,Vilson da Fetaemg,null,MG
53892,204478,Vinicius Farah,null,RJ
53890,178927,Aliel Machado,PV,PR
53890,204551,Bosco Saraiva,null,AM
53890,178924,Capitão Fábio Abreu,null,PI
53890,204440,Christino Aureo,null,RJ
53890,204454,Daniel Silveira,null,RJ
53890,160758,Domingos Sávio,PL,MG
53890,81297,Dra. Soraya Manato,null,ES
53890,141417,Edio Lopes,null,RR
53890,160640,Eros Biondini,PL,MG
53890,141428,Fábio Faria,null,RN
53890,204368,Fabio Schiochet,UNIÃO,SC
53890,74383,Giacobo,PSD,PR
53890,204574,Junior Lourenço,MDB,MA
53890,204526,Luiz Philippe de Orleans e Bragança,PL,SP
53890,179587,Major Vitor Hugo,null,GO
53890,204471,Mara Rocha,null,AC
53890,178843,Marx Beltrão,PP,AL
53890,204438,Sergio Toledo,null,AL
53890,92776,Stefano Aguiar,PSD,MG
53890,204396,Vermelho,PP,PR
53845,178927,ALIEL MACHADO,PV,PR
53845,74040,BENJAMIN MARANHÃO,null,PB
53845,178838,CÉSAR MESSIAS,null,AC
53845,178883,ELIZIANE GAMA,null,MA
53845,132504,ENIO VERRI,null,PR
53845,178828,EVANDRO GUSSI,null,SP
53845,178969,FÁBIO MITIDIERI,null,SE
53845,160558,PAULO FREIRE COSTA,PL,SP
53845,74216,RAIMUNDO GOMES DE MATOS,null,CE
53845,178840,ROCHA,null,AC
53845,74372,SANDES JÚNIOR,null,GO
53845,178902,ZECA DO PT,null,MS
53857,178833,ALEXANDRE SERFIOTIS,null,RJ
53857,178881,ALUISIO MENDES,REPUBLICANOS,MA
53857,74459,ÁTILA LIRA,null,PI
53857,160512,AUREO,SOLIDARIEDADE,RJ
53857,93083,CACÁ LEÃO,null,BA
53857,178876,CÉLIO SILVEIRA,MDB,GO
53857,74467,DAMIÃO FELICIANO,UNIÃO,PB
53857,178908,DELEGADO ÉDER MAURO,PL,PA
53857,132504,ENIO VERRI,null,PR
53857,141527,RENATO MOLLING,null,RS
53857,178897,RODRIGO PACHECO,null,MG
53857,178888,VICTOR MENDES,null,MA
53844,74378,ASSIS DO COUTO,null,PR
53844,73568,CELSO JACOB,null,RJ
53844,74467,DAMIÃO FELICIANO,UNIÃO,PB
53844,160528,DANILO CABRAL,null,PE
53844,160575,ERIKA KOKAY,PT,DF
53844,178877,FÁBIO SOUSA,null,GO
53844,178980,GOULART,null,SP
53844,178981,HERCULANO PASSOS,null,SP
53844,141503,JÔ MORAES,null,MG
53844,178885,JUNIOR MARRECA,null,MA
53844,178825,LEO DE BRITO,null,AC
53844,160663,LEOPOLDO MEYER,null,PR
53844,73788,RICARDO BARROS,PP,PR
53844,73466,RUBENS BUENO,null,PR
53844,178992,VITOR LIPPI,PSD,SP
53843,178890,ADELMO CARNEIRO LEÃO,null,MG
53843,178831,ANDRÉ ABDON,PP,AP
53843,74212,ANÍBAL GOMES,null,CE
53843,74459,ÁTILA LIRA,null,PI
53843,178993,CARLOS HENRIQUE GAGUIM,UNIÃO,TO
53843,141398,CARLOS ZARATTINI,PT,SP
53843,141408,CLEBER VERDE,MDB,MA
53843,74060,DANIEL ALMEIDA,PCdoB,BA
53843,178849,HISSA ABRAHÃO,null,AM
53843,74351,JOSUÉ BENGTSON,null,PA
53843,178956,MARIANA CARVALHO,null,RO
53843,178985,MIGUEL LOMBARDI,PL,SP
