id_frente,id_deputado,nome_deputado,partido,uf
53916,204376,Coronel Armando,null,SC
53916,141421,Eduardo da Fonte,PP,PE
53916,74419,Gonzaga Patriota,null,PE
53916,160667,Guilherme Mussi,null,SP
53916,141508,Mauro Nazif,null,RO
53916,178933,Sergio Souza,MDB,PR
53916,177282,Subtenente Gonzaga,null,MG
53900,92102,Leur Lomanto Júnior,UNIÃO,BA
53900,178987,Orlando Silva,PCdoB,SP
53900,178901,Tereza Cristina,null,MS
53900,137070,Vicentinho Júnior,PSDB,TO
53900,204483,Vilson da Fetaemg,null,MG
53909,178881,Aluisio Mendes,REPUBLICANOS,MA
53909,204397,Boca Aberta,null,PR
53909,141405,Celso Maldaner,null,SC
53909,204512,Delegado Marcelo Freitas,UNIÃO,MG
53909,141422,Efraim Filho,null,PB
53909,160674,Hugo Motta,REPUBLICANOS,PB
53909,74749,Mauro Lopes,null,MG
53909,204553,Pastor Sargento Isidório,AVANTE,BA
53909,160558,Paulo Freire Costa,PL,SP
53909,204437,Severino Pessoa,null,AL
53909,178947,Sóstenes Cavalcante,PL,RJ
53893,178927,Aliel Machado,PV,PR
53893,160589,Bruna Furlan,null,SP
53893,141405,Celso Maldaner,null,SC
53893,74060,Daniel Almeida,PCdoB,BA
53893,68720,Fábio Henrique,null,SE
53893,198197,Greyce Elias,AVANTE,MG
53893,204359,Léo Moraes,null,RO
53893,74478,Luciano Bivar,MDB,PE
53893,204432,Marina Santos,null,PI
53893,74044,Wilson Santiago,REPUBLICANOS,PB
53899,135054,Cristiano Vale,null,PA
53899,204409,Daniel Trzeciak,PSDB,RS
53899,204548,Heitor Freire,null,CE
53899,204520,Junio Amaral,PL,MG
53899,204536,Kim Kataguiri,MISSÃO,SP
53899,204381,Luis Miranda,null,DF
53899,166402,Magda Mofatto,PL,GO
53899,73486,Pompeo de Mattos,PDT,RS
53899,160632,Zé Silva,UNIÃO,MG
53905,178833,Alexandre Serfiotis,null,RJ
53905,93083,Cacá Leão,null,BA
53905,204361,Carlos Chiodini,MDB,SC
53905,178993,Carlos Henrique Gaguim,UNIÃO,TO
53905,204440,Christino Aureo,null,RJ
53905,204447,Flordelis,null,RJ
53905,204494,Fred Costa,PRD,MG
53905,74419,Gonzaga Patriota,null,PE
53905,204539,Hercílio Coelho Diniz,MDB,MG
53905,204475,Ottaci Nascimento,null,RR
53905,204480,Rogério Correia,PT,MG
53918,204537,Enrico Misasi,null,SP
53918,160666,Félix Mendonça Júnior,PDT,BA
53918,204527,Geninho Zuliani,null,SP
53918,178964,Heitor Schuch,PSD,RS
53918,204373,Hélio Costa,null,SC
53918,204474,Juarez Costa,REPUBLICANOS,MT
53918,178832,Leandre,PSD,PR
53918,74585,Lincoln Portela,PL,MG
53918,178954,Lucio Mosquini,PL,RO
53918,204566,Marreca Filho,null,MA
53918,178997,Moses Rodrigues,UNIÃO,CE
53918,160601,Pr. Marco Feliciano,PL,SP
53918,204530,Rodrigo Agostinho,null,SP
53918,178933,Sergio Souza,MDB,PR
53918,160976,Tiririca,PSD,SP
53907,160600,Arthur Oliveira Maia,UNIÃO,BA
53907,204435,Jesus Sérgio,null,AC
53907,204576,João Roma,null,BA
53907,204437,Severino Pessoa,null,AL
53907,74283,Vicentinho,null,SP
53907,160518,Weliton Prado,SOLIDARIEDADE,MG
53907,160592,Zeca Dirceu,PT,PR
53901,204515,André Janones,REDE,MG
53901,204352,Camilo Capiberibe,null,AP
53901,204490,Charlles Evangelista,null,MG
53901,178916,Daniel Coelho,null,PE
53901,178908,Delegado Éder Mauro,PL,PA
53901,204542,Denis Bezerra,null,CE
53901,204439,Dr. Leonardo,null,MT
53901,141428,Fábio Faria,null,RN
53901,160666,Félix Mendonça Júnior,PDT,BA
53901,204456,Gutemberg Reis,MDB,RJ
53901,204539,Hercílio Coelho Diniz,MDB,MG
53901,141450,Hugo Leal,PSD,RJ
53901,178910,Joaquim Passarinho,PL,PA
53901,74156,Leonardo Monteiro,PT,MG
53901,74749,Mauro Lopes,null,MG
53901,141508,Mauro Nazif,null,RO
53901,154178,Milton Vieira,REPUBLICANOS,SP
53901,204479,Nicoletti,PL,RR
53901,194260,Nivaldo Albuquerque,null,AL
53901,74160,Patrus Ananias,PT,MG
53901,178887,Rubens Pereira Júnior,PT,MA
53898,160758,Domingos Sávio,PL,MG
53898,204494,Fred Costa,PRD,MG
53898,178966,Geovania de Sá,PSDB,SC
53898,204394,Gervásio Maia,PCdoB,PB
53898,160570,Jerônimo Goergen,null,RS
53898,150418,Márcio Marinho,REPUBLICANOS,BA
53898,160655,Ricardo Izar,null,SP
53898,204483,Vilson da Fetaemg,null,MG
53894,178854,Elmar Nascimento,UNIÃO,BA
53894,141428,Fábio Faria,null,RN
53894,160674,Hugo Motta,REPUBLICANOS,PB
53894,178842,Jhc,null,AL
53894,150418,Márcio Marinho,REPUBLICANOS,BA
53894,204540,Maria Rosas,REPUBLICANOS,SP
53894,204422,Ossesio Silva,null,PE
53894,204446,Professor Joziel,null,RJ
53894,74356,Silas Câmara,null,AM
53894,204505,Vavá Martins,null,PA
53895,178937,Altineu Côrtes,PL,RJ
53895,141513,Bilac Pinto,null,MG
53895,160666,Félix Mendonça Júnior,PDT,BA
53895,178964,Heitor Schuch,PSD,RS
53895,73772,Hermes Parcianello,null,PR
