id,nome,siglaPartido,siglaUF,idLegislatura
204390,Professor Alcides,PSDB,GO,57
220693,Roberta Roma,PL,BA,57
220713,Saullo Vianna,MDB,AM,57
235776,Sérgio Turra,PP,RS,57
204464,Talíria Petrone,PSOL,RJ,57
220560,Thiago de Joaldo,REPUBLICANOS,SE,57
137070,Vicentinho Júnior,PSDB,TO,57
141555,Vinicius Carvalho,PL,SP,57
160632,Zé Silva,UNIÃO,MG,57
220558,Zé Trovão,PL,SC,57
220552,Zucco,PL,RS,57
220538,Albuquerque,REPUBLICANOS,RR,57
160541,Arthur Lira,PP,AL,57
73701,Benedita da Silva,PT,RJ,57
160538,Bohn Gass,PT,RS,57
210989,Bruno Farias,REPUBLICANOS,MG,57
213762,Carla Dickson,UNIÃO,RN,57
204426,Carlos Veras,PT,PE,57
220704,Carol Dartora,PT,PR,57
220701,Delegado Matheus Laiola,UNIÃO,PR,57
220652,Delegado Palumbo,PODE,SP,57
198783,Emanuel Pinheiro Neto,PSD,MT,57
178905,Fabio Garcia,UNIÃO,MT,57
220653,Fábio Teruel,MDB,SP,57
160673,Giovani Cherini,PL,RS,57
204436,Isnaldo Bulhões Jr.,MDB,AL,57
74273,Jefferson Campos,PL,SP,57
204574,Junior Lourenço,MDB,MA,57
98057,Lafayette de Andrada,PL,MG,57
220581,Luciano Amaral,PSD,AL,57
179000,Marcelo Álvaro Antônio,PL,MG,57
178983,Marcio Alvino,PL,SP,57
220604,Marcos Tavares,PDT,RJ,57
74398,Maria do Rosário,PT,RS,57
220550,Mauricio Marcon,PL,RS,57
178895,Misael Varella,PSD,MG,57
204395,Pedro Lupion,REPUBLICANOS,PR,57
204567,Raimundo Costa,PSD,BA,57
220624,Robinson Faria,PP,RN,57
220546,Rodolfo Nogueira,PL,MS,57
220641,Rodrigo Gambale,PODE,SP,57
204480,Rogério Correia,PT,MG,57
160635,Ruy Carneiro,PODE,PB,57
227310,Silvio Antonio,PL,MA,57
104552,Socorro Neri,PP,AC,57
178947,Sóstenes Cavalcante,PL,RJ,57
224333,Welter,PT,PR,57
160508,Afonso Florence,PT,BA,57
204495,Airton Faleiro,PT,PA,57
178937,Altineu Côrtes,PL,RJ,57
220632,Ana Pimentel,PT,MG,57
123756,Antônia Lúcia,MDB,AC,57
178975,Baleia Rossi,MDB,SP,57
220612,Bebeto,PP,RJ,57
204460,Carlos Jordy,PL,RJ,57
204504,Cezinha de Madureira,PL,SP,57
141408,Cleber Verde,MDB,MA,57
220557,Daniela Reinehr,PL,SC,57
160552,Danrlei de Deus Hinterholz,PSD,RS,57
220673,Delegado Caveira,PL,PA,57
220573,Dorinaldo Malafaia,PDT,AP,57
204351,Dr. Luiz Ovando,PP,MS,57
220528,Dr. Victor Linhalis,PODE,ES,57
74374,Geraldo Resende,PSDB,MS,57
204365,Gilson Marques,NOVO,SC,57
204531,Guilherme Derrite,PP,SP,57
204408,Gustinho Ribeiro,PP,SE,57
204444,Helio Lopes,PL,RJ,57
220672,Henderson Pinto,UNIÃO,PA,57
220696,Ivoneide Caetano,PT,BA,57
166402,Magda Mofatto,PL,GO,57
156190,Marcel van Hattem,NOVO,RS,57
204558,Marcelo Nilo,REPUBLICANOS,BA,57
160161,Marcelo Queiroz,PSDB,RJ,57
220530,Messias Donato,UNIÃO,ES,57
160561,Missionário José Olimpio,PL,SP,57
220703,Neto Carletto,AVANTE,BA,57
220615,Pastor Henrique Vieira,PSOL,RJ,57
220650,Paulo Alexandre Barbosa,PSDB,SP,57
204492,Paulo Guedes,PT,MG,57
141488,Paulo Teixeira,PT,SP,57
220620,Rosângela Reis,PL,MG,57
220631,Samuel Viana,UNIÃO,MG,57
220592,Zezinho Barbary,PP,AC,57
220714,Adail Filho,MDB,AM,57
221328,Adilson Barroso,PL,SP,57
160559,Alceu Moreira,MDB,RS,57
178831,André Abdon,PP,AP,57
141391,Arnaldo Jardim,CIDADANIA,SP,57
204388,Bibo Nunes,PL,RS,57
204488,Célio Studart,PSD,CE,57
74537,Claudio Cajado,PP,BA,57
220594,Coronel Assis,PL,MT,57
220608,Cristiane Lopes,PODE,RO,57
220582,Daniel Barbosa,PP,AL,57
220654,Delegado Paulo Bilynskyj,PL,SP,57
143632,Domingos Neto,PSD,CE,57
227991,Dr Flávio,PL,RJ,57
204364,Eli Borges,REPUBLICANOS,TO,57
160575,Erika Kokay,PT,DF,57
220656,Fernanda Pessoa,PSD,CE,57
160598,Flávia Morais,PDT,GO,57
220534,Fred Linhares,REPUBLICANOS,DF,57
178964,Heitor Schuch,PSD,RS,57
235869,João Carlos,REPUBLICANOS,AM,57
66385,Julio Arcoverde,PP,PI,57
204431,Marcos Aurélio Sampaio,MDB,PI,57
220586,Rafael Brito,MDB,AL,57
220694,Ricardo Maia,MDB,BA,57
204525,Rosana Valle,PL,SP,57
178887,Rubens Pereira Júnior,PT,MA,57
204535,Sâmia Bomfim,PSOL,SP,57
160621,Sandro Alex,PSD,PR,57
220598,Tarcísio Motta,PSOL,RJ,57
230768,Zé Adriano,PP,AC,57
