id_deputado,nome_deputado,partido,uf,total_sessoes,presencas_reais,score_engajamento
204541,Eduardo Bismarck,PV,CE,3,0,0
204491,Gilberto Abramo,REPUBLICANOS,MG,3,0,0
220707,Amanda Gentil,PP,MA,3,0,0
133439,André Figueiredo,PDT,CE,3,0,0
74428,Mendonça Filho,PL,PE,3,0,0
224117,Gabriel Mota,UNIÃO,RR,3,0,0
161550,Emidinho Madeira,PL,MG,3,0,0
204515,André Janones,REDE,MG,3,0,0
220666,Coronel Meira,PL,PE,3,0,0
107970,Ana Paula Leão,PP,MG,3,0,0
204498,Olival Marques,PODE,PA,3,0,0
178858,Mário Negromonte Jr.,PSB,BA,3,0,0
220691,Diego Coronel,REPUBLICANOS,BA,3,0,0
204408,Gustinho Ribeiro,PP,SE,3,0,0
204486,Mauro Benevides Filho,UNIÃO,CE,3,0,0
220687,Márcio Honaiser,SOLIDARIEDADE,MA,3,0,0
98057,Lafayette de Andrada,PL,MG,3,0,0
220589,Eduardo Velloso,SOLIDARIEDADE,AC,3,0,0
204574,Junior Lourenço,MDB,MA,3,0,0
204367,Daniel Freitas,PL,SC,3,0,0
220547,Marcos Pollon,PL,MS,3,0,0
178946,Soraya Santos,PL,RJ,3,0,0
74043,Wellington Roberto,PSD,PB,3,0,0
204409,Daniel Trzeciak,PSDB,RS,3,0,0
73801,Renildo Calheiros,PCdoB,PE,3,0,0
178831,André Abdon,PP,AP,3,0,0
204449,Nelson Barbudo,PODE,MT,3,0,0
141531,Rodrigo de Castro,UNIÃO,MG,3,0,0
74161,Reginaldo Lopes,PT,MG,3,0,0
74079,José Priante,MDB,PA,3,0,0
220539,Defensor Stélio Dener,UNIÃO,RR,3,0,0
220704,Carol Dartora,PT,PR,3,0,0
160575,Erika Kokay,PT,DF,3,0,0
220630,Pedro Aihara,PP,MG,3,0,0
204497,Júnior Ferrari,PSD,PA,3,0,0
220606,Reimont,PT,RJ,3,0,0
220641,Rodrigo Gambale,PODE,SP,3,0,0
160553,Antonio Brito,PSD,BA,3,0,0
204427,Fernando Rodolfo,PRD,PE,3,0,0
74848,Jandira Feghali,PCdoB,RJ,3,0,0
204423,André Ferreira,PL,PE,3,0,0
220640,Juliana Cardoso,PT,SP,3,0,0
220546,Rodolfo Nogueira,PL,MS,3,0,0
204492,Paulo Guedes,PT,MG,3,0,0
220565,Delegada Adriana Accorsi,PT,GO,3,0,0
74454,Eunício Oliveira,MDB,CE,3,0,0
220652,Delegado Palumbo,PODE,SP,3,0,0
220628,Mauricio do Vôlei,PL,MG,3,0,0
220633,Ricardo Salles,NOVO,SP,3,0,0
220651,Simone Marquetto,PP,SP,3,0,0
204485,Luiz Carlos Motta,PL,SP,3,0,0
74646,Aécio Neves,PSDB,MG,3,0,0
160599,Dimas Fabiano,PP,MG,3,0,0
204511,David Soares,PODE,SP,3,0,0
92102,Leur Lomanto Júnior,UNIÃO,BA,3,0,0
178854,Elmar Nascimento,UNIÃO,BA,3,0,0
220681,Fábio Macedo,PODE,MA,3,0,0
171623,Fabio Reis,PSD,SE,3,0,0
230957,João Cury,MDB,SP,3,0,0
220569,Silvye Alves,UNIÃO,GO,3,0,0
74158,Mário Heringer,PDT,MG,3,0,0
220694,Ricardo Maia,MDB,BA,3,0,0
220534,Fred Linhares,REPUBLICANOS,DF,3,0,0
160518,Weliton Prado,SOLIDARIEDADE,MG,3,0,0
178989,Renata Abreu,PODE,SP,3,0,0
160588,Diego Andrade,PSD,MG,3,0,0
204394,Gervásio Maia,PCdoB,PB,3,0,0
178985,Miguel Lombardi,PL,SP,3,0,0
204520,Junio Amaral,PL,MG,3,0,0
214694,Jorge Goetten,REPUBLICANOS,SC,3,0,0
204407,Fernanda Melchionna,PSOL,RS,3,0,0
204398,Felipe Francischini,PODE,PR,3,0,0
