apelido,codTipoOrgao,id,nome,nomePublicacao,nomeResumido,sigla,tipoOrgao,uri
MPV40,9,5555,"Abre crédito extraordinário, no valor de R$ 326.075.000,00, em favor do Ministério de Minas e Energia, para os fins que especifica",MPV40,null,MPV04002,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5555
MPV41,9,5566,"Altera a Lei nº 10.147, de 21 de dezembro de 2000, que dispõe sobre a incidência da contribuição para os Programas de Integração Social e de Formação do Patrimônio - PIS-Pasep e da Contribuição para o Financiamento da Seguridade Social - Cofins, nas operações de venda dos produtos que especifica, e dá outras providências.",MPV41,null,MPV04102,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5566
MPV42,9,5568,"Dispõe sobre a estruturação da Carreira de Inteligência, a remuneração dos integrantes do Quadro de Pessoal da Agência Brasileira de Inteligência - ABIN, e dá outras providências.",MPV42,null,MPV04202,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5568
MPV43,9,5569,"Dispõe sobre a remuneração dos cargos da Carreira de Procurador da Fazenda Nacional, e dá outras providências",MPV43,null,MPV04302,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5569
MPV44,9,5570,"Dispõe sobre a inclusão dos cargos da Comissão Executiva do Plano da Lavoura Cacaueira - CEPLAC no Plano de Classificação de Cargos, instituído pela Lei nº 5.645, de 10 de dezembro de 1970.",MPV44,null,MPV04402,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5570
MPV45,9,5571,"Altera a Lei nº 9.650, de 27 de maio de 1998, que dispõe sobre o Plano de Carreira dos servidores do Banco Central do Brasil, e dá outras providências",MPV45,null,MPV04502,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5571
MPV46,9,5572,"Dispõe sobre a reestruturação da Carreira de Auditoria do Tesouro Nacional, que passa a denominar-se Carreira Auditoria da Receita Federal - ARE, e sobre a organização da Carreira Auditoria-Fiscal da Previdência Social e da Carreira Auditoria-Fiscal do Trabalho, e dá outras providências.",MPV46,null,MPV04602,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5572
MPV47,9,5573,"Dispõe sobre a estruturação da Carreira de Perito Federal Agrário, a criação da Gratificação de Desempenho de Atividade de Perito Federal Agrário - GDAPA e da Gratificação Especial de Perito Federal Agrário - GEPRA, e dá outras providências.",MPV47,null,MPV04702,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5573
MPV48,9,5574,"Dispõe sobre a criação da Gratificação de Desempenho de Atividade de Controle e Segurança de Tráfego Aéreo - GDASA e da Gratificação Especial de Controle do Tráfego Aéreo - GECTA, e dá outras providências.",MPV48,null,MPV04802,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5574
MPV49,9,5575,"Autoriza o Poder Executivo a contratar em nome da União operação de crédito interno e a conceder garantia da União a entidades da administração federal indireta, bem como a Estados, ao Distrito Federal, aos Municípios e às suas entidades da administração indireta, em operação de crédito interno, e dá outras providências.",MPV49,null,MPV04902,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5575
MPV50,9,5576,"Abre, em favor de operações Oficiais de Crédito, crédito extraordinário no valor de R$ 380.905.883,00, para os fins que especifica.",MPV50,null,MPV05002,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5576
MPV51,9,5577,"Dispõe sobre a criação de cargos de Guarda de Polícia Federal e de Analista de Informações Policiais no Quadro de Pessoal do Departamento de Polícia Federal, e de Direção e Assessoramento Superiores no âmbito da Administração Pública Federal, e dá outras providências.",MPV51,null,MPV05102,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5577
MPV52,9,5578,Dispõe sobre a criação da Carreira de Supervisão do Sistema de Saúde e dá outras providências.,MPV52,null,MPV05202,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5578
MPV53,9,5579,"Revoga os arts. 27, 28 e 29 da Medida Provisória nº 51, de 4 de julho de 2002, que dispõe sobre a criação de cargos de Guarda da Polícia Federal e de Analista de Informações Policiais no Quadro de Pessoal do Departamento de Polícia Federal, e de Direção e Assessoramento Superiores no âmbito da Administração Pública Federal.",MPV53,null,MPV05302,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5579
MPV54,9,5580,"Abre crédito extraordinário, em favor do Ministério da Integração Nacional, no valor de R$.36.365.000,00, para os fins que especifica.",MPV54,null,MPV05402,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5580
MPV55,9,5581,"Autoriza condições especiais para o crédito de valores iguais ou inferiores a R$100,00, de que trata a Lei Complementar nº 110, de 29 de junho de 2001, e dá outras providências.",MPV55,null,MPV05502,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5581
MPV56,9,5582,"Dispõe sobre a inclusão dos cargos que especifica no Plano de Classificação de Cargos, instituído pela Lei nº 5.645, de 10 de dezembro de 1970, altera as Leis nº 10.486, de 4 de julho de 2002, e 5.662, de 21 de junho de 2001, e dá outras providências.",MPV56,null,MPV05602,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5582
MPV57,9,5583,"Autoriza a Centrais Elétricas Brasileiras S.A. - ELETROBRÁS e a União a adquirirem ações da Companhia Energética de
Goiás - CELG para efeito de inclusão no Plano Nacional de Desestatização - PND, e dá outras providências.",MPV57,null,MPV05702,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5583
MPV58,9,5584,"Exclui da vedação prevista no art. 3º da Lei nº 9.491, de 9 de setembro de 1997, as ações detidas pela União no capital do Banco do Brasil S.A., e dá outras providências.",MPV58,null,MPV05802,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5584
MPV59,9,5585,"Dispõe sobre a utlização das fontes de recursos existentes no Tesouro Nacional no encerramento do exercício financeiro de 2001, e dá outras providências.",MPV59,null,MPV05902,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5585
MPV60,9,5586,"Abre, em favor de Encargos Financeiros da União, crédito extraordinário no valor de R$7.000.000.000,00, para os fins que especifica.",MPV60,null,MPV06002,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5586
MPV61,9,5587,"Dispõe sobre a assunção, pela União, de responsabilidades civis perante terceiros no caso de atentados terroristas ou atos de guerra contra aeronaves de empresas aéreas brasileiras.",MPV61,null,MPV06102,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5587
MPV62,9,5588,"Altera o art. 25 da Lei nº 9.605, de 12 de fevereiro de 1998, que dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente.",MPV62,null,MPV06202,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5588
MPV63,9,5589,"Cria o Programa Diversidade na Universidade, e dá outras providências.",MPV63,null,MPV06302,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5589
MPV64,9,5590,"Estabelece exceção ao alcance do art. 2º da Lei nº 10.192, de 14 de fevereiro de 2001, que dispõe sobre medidas complementares ao Plano Real, e dá outras providências.",MPV64,null,MPV06402,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5590
MPV65,9,5591,Regulamenta o art. 8º do Ato das Disposições Constitucionais Transitórias e dá outras providências.,MPV65,null,MPV06502,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5591
MPV66,9,5592,"Dispõe sobre a não cumulatividade na cobrança da contribuição para os Programas de Integração Social (PIS) e de Formação do Patrimônio do Servidor Público (Pasep), nos casos que espedifica; sobre os procedimentos para desconsideração de atos ou negócio jurídicos, para fins tributários; sobre o pagamento e o parcelamento de débitos tributários federais, a compensação de créditos fiscais, a compensação de créditos fiscais, a declaração de inaptidão de inscrição de pessoas jurídicas, a legislação aduaneira, e dá outras providências.",MPV66,null,MPV06602,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5592
MPV67,9,5593,"Dispõe sobre o tratamento tributário dispensado às empresas de transporte aéreo, e dá outras providências.",MPV67,null,MPV06702,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5593
