id_deputado,nome_deputado,uf,total_frentes
220635,Bruno Ganem,SP,34
204520,Junio Amaral,MG,34
178985,Miguel Lombardi,SP,34
204494,Fred Costa,MG,34
220629,Dandara,MG,33
204518,Dr. Frederico,MG,33
220692,Dal Barreto,BA,33
204464,Talíria Petrone,RJ,33
109429,Benes Leocádio,RN,33
220560,Thiago de Joaldo,SE,33
220578,Josenildo,AP,33
204492,Paulo Guedes,MG,33
160976,Tiririca,SP,33
74158,Mário Heringer,MG,33
171786,Miguel Ângelo,MG,33
178835,Afonso Motta,RS,33
74317,Júlio Cesar,PI,33
220673,Delegado Caveira,PA,33
220633,Ricardo Salles,SP,32
220555,Daiana Santos,RS,32
160601,Pr. Marco Feliciano,SP,32
143632,Domingos Neto,CE,32
74273,Jefferson Campos,SP,32
73778,Luiz Carlos Hauly,PR,32
141450,Hugo Leal,RJ,32
215043,Josivaldo JP,MA,31
160548,Jonas Donizette,SP,31
220667,Pedro Campos,PE,31
204557,Sidney Leite,AM,31
160518,Weliton Prado,MG,31
220644,Rosangela Moro,SP,31
141456,Jilmar Tatto,SP,31
220576,Alfredo Gaspar,AL,31
220620,Rosângela Reis,MG,31
220714,Adail Filho,AM,31
220584,Murilo Galdino,PB,31
220640,Juliana Cardoso,SP,31
220684,Tião Medeiros,PR,30
178866,Luizianne Lins,CE,30
220694,Ricardo Maia,BA,30
220565,Delegada Adriana Accorsi,GO,30
206018,Célia Xakriabá,MG,30
122158,Pedro Paulo,RJ,30
220527,Jack Rocha,ES,30
204524,Pinheirinho,MG,30
220669,Lula da Fonte,PE,29
220581,Luciano Amaral,AL,29
220674,Dra. Alessandra Haber,PA,29
92102,Leur Lomanto Júnior,BA,29
204485,Luiz Carlos Motta,SP,29
220628,Mauricio do Vôlei,MG,29
73604,Rui Falcão,SP,29
204533,Idilvan Alencar,CE,29
220645,Erika Hilton,SP,29
220696,Ivoneide Caetano,BA,29
74161,Reginaldo Lopes,MG,29
141411,Dagoberto Nogueira,MS,28
74090,Átila Lins,AM,28
224117,Gabriel Mota,RR,28
204395,Pedro Lupion,PR,28
220559,Julia Zanatta,SC,28
107283,Gleisi Hoffmann,PR,27
220661,Matheus Noronha,CE,27
220693,Roberta Roma,BA,27
204358,Beto Pereira,MS,27
178829,Capitão Augusto,SP,27
220551,Franciane Bayer,RS,26
178895,Misael Varella,MG,26
178858,Mário Negromonte Jr.,BA,26
204553,Pastor Sargento Isidório,BA,26
220557,Daniela Reinehr,SC,26
220623,Duda Salabert,MG,26
141391,Arnaldo Jardim,SP,26
74428,Mendonça Filho,PE,26
220655,Mario Frias,SP,26
178946,Soraya Santos,RJ,26
220626,Rafael Simoes,MG,26
220658,Luiz Gastão,CE,26
160588,Diego Andrade,MG,25
107970,Ana Paula Leão,MG,25
204365,Gilson Marques,SC,25
204445,Fernando Mineiro,RN,25
178937,Altineu Côrtes,RJ,25
220532,Rafael Prudente,DF,25
204372,Julio Cesar Ribeiro,DF,25
220685,Paulo Litro,PR,24
92776,Stefano Aguiar,MG,24
204570,Pastor Gil,MA,24
