aprovacao,data,dataHoraRegistro,descricao,id,proposicaoObjeto,siglaOrgao,uri,uriEvento,uriOrgao,uriProposicaoObjeto
0,2026-04-22,2026-04-22T20:45:54,Rejeitado o Requerimento. Sim: 117; Não: 278; Total: 395.,2368697-38,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2368697-38,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-22,2026-04-22T20:32:51,"Aprovada a Redação Final, assinada pelo relator, Dep. Antonio Brito (PSD/BA).",2582523-43,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2582523-43,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-22,2026-04-22T20:31:27,"Aprovado o Substitutivo ao Projeto de Resolução nº 80, de 2025, adotado pelo relator da Mesa Diretora da Câmara dos Deputados.",2582523-40,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2582523-40,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-22,2026-04-22T19:55:37,"Aprovada a Redação Final assinada pelo relator, Dep. Tarcísio Motta (PSOL/RJ).",2419128-93,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2419128-93,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-22,2026-04-22T19:54:23,"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 533, de 2024, adotada pelo relator da Comissão de Educação.",2419128-90,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2419128-90,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
0,2026-04-22,2026-04-22T19:44:30,Rejeitado o Requerimento.,2419128-88,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2419128-88,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
0,2026-04-22,2026-04-22T19:34:48,Rejeitado o Requerimento.,2419128-82,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2419128-82,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
0,2026-04-22,2026-04-22T19:25:42,Rejeitado o Requerimento. Sim: 127; Não: 268; Total: 395.,2419128-78,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2419128-78,https://dadosabertos.camara.leg.br/api/v2/eventos/81726,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-22,2026-04-22T17:02:08,Aprovado o Parecer.,2233802-72,null,CCJC,https://dadosabertos.camara.leg.br/api/v2/votacoes/2233802-72,https://dadosabertos.camara.leg.br/api/v2/eventos/81688,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,null
1,2026-04-17,2026-04-17T10:52:37,Aprovada a Subemenda da Comissão de Constituição e Justiça e de Cidadania.,530513-109,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/530513-109,https://dadosabertos.camara.leg.br/api/v2/eventos/81699,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-17,2026-04-17T10:51:40,"Aprovado o Substitutivo ao Projeto de Lei nº 2.879, de 2011, da Comissão de Viação e Transportes.",530513-106,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/530513-106,https://dadosabertos.camara.leg.br/api/v2/eventos/81699,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-16,2026-04-16T12:08:22,"Aprovada a Redação Final assinada pela relatora, Dep. Bia Kicis (PL/DF).",2266116-139,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2266116-139,https://dadosabertos.camara.leg.br/api/v2/eventos/81692,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-16,2026-04-16T12:07:51,"Aprovadas as Emendas do Senado Federal ao Projeto de Lei nº 5.391, de 2020.",2266116-137,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2266116-137,https://dadosabertos.camara.leg.br/api/v2/eventos/81692,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
