id_orgao,nome_orgao,sigla_orgao,tipo_orgao,apelido_orgao,nome_publicacao
5306,"Dispõe sobre o Conselho de Altos Estudos e Avaliação Tecnológica, de que trata o artigo 275 do Regimento Interno.",COESTUDO,Conselho,CONSELHO DE ALTOS ESTUDOS E AVALIAÇÃO TECNOLOGICA,CONSELHO DE ALTOS ESTUDOS E AVALIAÇÃO TECNOLOGICA
5573,"Dispõe sobre a estruturação da Carreira de Perito Federal Agrário, a criação da Gratificação de Desempenho de Atividade de Perito Federal Agrário - GDAPA e da Gratificação Especial de Perito Federal Agrário - GEPRA, e dá outras providências.",MPV04702,Comissão Medida Provisória,MPV47,MPV47
5576,"Abre, em favor de operações Oficiais de Crédito, crédito extraordinário no valor de R$ 380.905.883,00, para os fins que especifica.",MPV05002,Comissão Medida Provisória,MPV50,MPV50
5577,"Dispõe sobre a criação de cargos de Guarda de Polícia Federal e de Analista de Informações Policiais no Quadro de Pessoal do Departamento de Polícia Federal, e de Direção e Assessoramento Superiores no âmbito da Administração Pública Federal, e dá outras providências.",MPV05102,Comissão Medida Provisória,MPV51,MPV51
5580,"Abre crédito extraordinário, em favor do Ministério da Integração Nacional, no valor de R$.36.365.000,00, para os fins que especifica.",MPV05402,Comissão Medida Provisória,MPV54,MPV54
5603,"Altera a Lei nº 7.998, de 11 de janeiro de 1990, para assegurar o pagamento de seguro-desemprego ao trabalhador resgatado da condição análoga à de escravo.",MPV07402,Comissão Medida Provisória,MPV74,MPV74
5606,"Altera as Leis nº 10.464, de 24 de maio de 2002, 10.177, de 12 de janeiro de 2001, e 10.437, de 25 de abril de 2002; autoriza a concessão de crédito, com recursos dos Fundos Constitucionais de Financiamento do Norte, Nordeste e Centro-Oeste, para aquisição dos títulos do Tesouro Nacional necessários à contratação de operação na forma da Resolução nº 2.471, de 26 de fevereiro de 1968, do Conselho Monetário Nacional, relacionada com dívidas contraídas com recursos de outras fontes; dispõe sobre reconversão de atividades de mutuários com dívidas junto a bancos oficiais federais; e dá outras providências.",MPV07702,Comissão Medida Provisória,MPV77,MPV77
5937,"Abre crédito extraordinário, em favor de encargos financeiros da União e Refinanciamento da Dívida Mobiliária Federal, no valor global de R$17.084.740.385,00, para os fins que especifica.",MPV08102,Comissão Medida Provisória,MPV81,MPV81
5566,"Altera a Lei nº 10.147, de 21 de dezembro de 2000, que dispõe sobre a incidência da contribuição para os Programas de Integração Social e de Formação do Patrimônio - PIS-Pasep e da Contribuição para o Financiamento da Seguridade Social - Cofins, nas operações de venda dos produtos que especifica, e dá outras providências.",MPV04102,Comissão Medida Provisória,MPV41,MPV41
5600,"Altera disposições das Leis nº 9.028, de 12 de abril de 1995, e 10.480, de 2 de julho de 2002, da Medida Provisória nº 2.229-43, de 6 de setembro de 2001, dispõe sobre a Secretaria da Receita Federal, e dá outras providências.",MPV07102,Comissão Medida Provisória,MPV71,MPV71
5602,"Revoga o art. 12 da Medida Provisória nº 66, de 29 de agosto de 2002.",MPV07302,Comissão Medida Provisória,MPV73,MPV73
5934,Autoriza o Poder Executivo a doar à República do Paraguai vacinas e equipamentos indispensáveis ao combate à febre aftosa.,MPV07802,Comissão Medida Provisória,MPV78,MPV78
5938,"Dispõe sobre a transferência da União para os Estados e o Distrito Federal de parte da malha rodoviária sob jurisdição federal, nos casos que especifica, e dá outras providências.",MPV08202,Comissão Medida Provisória,MPV82,MPV82
4,Mesa Diretora da Câmara dos Deputados,MESA,Comissão Diretora,Mesa Diretora,Mesa Diretora
2011,Comissão de Fiscalização Financeira e Controle,CFFC,Comissão Permanente,Fiscalização Financeira e Controle,Comissão de Fiscalização Financeira e Controle
5438,Comissão de Legislação Participativa,CLP,Comissão Permanente,Legislação Participativa,Comissão de Legislação Participativa
5450,"Comissão de Sindicância destinada a examinar denúncias oferecidas contra a CPI destinada a ""investigar as possíveis irregularidades atentatórias aos Princípios Constitucionais da legalidade, da moralidade administrativa e da economicidade, nas obras iniciadas e não concluídas e os bens imóveis que não estão sendo utilizados, ou utilizados inadequadamente pela administsração federal"". (Obras Inacabadas)",SINDOBRA,Comissão de Sindicância,SINDICANCIA CPI OBRAS,SINDICANCIA CPI OBRAS
5470,Primeira Secretaria,1SECM,Comissão Diretora,1ª Secretaria,1ª Secretaria da Câmara dos Deputados
5571,"Altera a Lei nº 9.650, de 27 de maio de 1998, que dispõe sobre o Plano de Carreira dos servidores do Banco Central do Brasil, e dá outras providências",MPV04502,Comissão Medida Provisória,MPV45,MPV45
5574,"Dispõe sobre a criação da Gratificação de Desempenho de Atividade de Controle e Segurança de Tráfego Aéreo - GDASA e da Gratificação Especial de Controle do Tráfego Aéreo - GECTA, e dá outras providências.",MPV04802,Comissão Medida Provisória,MPV48,MPV48
5605,"Dispõe sobre a instituição de equipe de transição pelo candidato eleito para o cargo de Presidente da República, cria cargos em comissão, e dá outras providências.",MPV07602,Comissão Medida Provisória,MPV76,MPV76
2003,Comissão de Constituição e Justiça e de Cidadania,CCJC,Comissão Permanente,Constituição e Justiça e de Cidadania,Comissão de Constituição e Justiça e de Cidadania
2017,Comissão de Integração Nacional e Desenvolvimento Regional,CINDRE,Comissão Permanente,Integração Nacional e Desenvolvimento Regional,Comissão de Integração Nacional e Desenvolvimento Regional
2342,Comissão Mista de acompanhamento das medidas relacionadas ao coronavírus (Covid-19),CN-Covid19,Comissão Mista,Comissão Mista de acompanhamento das medidas relacionadas ao coronavírus (Covid-19),Comissão Mista de acompanhamento das medidas relacionadas ao coronavírus (Covid-19)
5473,Quarta Secretaria,4SECM,Comissão Diretora,4ª Secretaria,4ª Secretaria da Câmara dos Deputados
5552,"Dispõe sobre a estruturação de órgãos, cria cargos em comissão no âmbito do Poder Executivo Federal, e dá outras providências.",MPV03702,Comissão Medida Provisória,MPV37,MPV37
5607,Autoriza o Poder Executivo a doar à República do Paraguai vacinas e equipamentos indispensáveis ao combate à febre aftosa.,MPV07802,Comissão Medida Provisória,MPV78,MPV78
2006,Comissão de Desenvolvimento Urbano,CDU,Comissão Permanente,Desenvolvimento Urbano,Comissão de Desenvolvimento Urbano
5553,"Dispõe sobre o parcelamento de débitos tributários de Estados, do Distrito Federal, de Municípios e de empresas públicas e privadas em processo de falência ou de liquidação, institui regime especial de parcelamento da contribuição para o Programa de Formação do Patrimônio do Servidor Público - PASEP, restabelece prazos para pagamento de débitos tributários, inclusive do imposto de renda incidente sobre lucro inflacionário, concede benefícios fiscais à instalação, ampliação ou modernização de unidades industriais e tratamento tributário isonômico entre produção nacional e a importação de papel-jornal, altera a legislação aduaneira e a relativa à cobrança de direitos antidumping e compensatórios, e dá outras providências.",MPV03802,Comissão Medida Provisória,MPV38,MPV38
5579,"Revoga os arts. 27, 28 e 29 da Medida Provisória nº 51, de 4 de julho de 2002, que dispõe sobre a criação de cargos de Guarda da Polícia Federal e de Analista de Informações Policiais no Quadro de Pessoal do Departamento de Polícia Federal, e de Direção e Assessoramento Superiores no âmbito da Administração Pública Federal.",MPV05302,Comissão Medida Provisória,MPV53,MPV53
5581,"Autoriza condições especiais para o crédito de valores iguais ou inferiores a R$100,00, de que trata a Lei Complementar nº 110, de 29 de junho de 2001, e dá outras providências.",MPV05502,Comissão Medida Provisória,MPV55,MPV55
5585,"Dispõe sobre a utlização das fontes de recursos existentes no Tesouro Nacional no encerramento do exercício financeiro de 2001, e dá outras providências.",MPV05902,Comissão Medida Provisória,MPV59,MPV59
5586,"Abre, em favor de Encargos Financeiros da União, crédito extraordinário no valor de R$7.000.000.000,00, para os fins que especifica.",MPV06002,Comissão Medida Provisória,MPV60,MPV60
