nome_deputado,uf,categoria,valor_gasto,z_score
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,2558.69,0.9525
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,1942.61,0.9362
Fausto Pinato,SP,PASSAGEM AÉREA - SIGEPA,1975.15,0.8821
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,380.72,0.8775
Dagoberto Nogueira,MS,TELEFONIA,1563.36,0.8764
Bohn Gass,RS,COMBUSTÍVEIS E LUBRIFICANTES.,317,0.8714
Dagoberto Nogueira,MS,TELEFONIA,1556.4,0.8668
Fausto Pinato,SP,PASSAGEM AÉREA - SIGEPA,1947.95,0.8635
Bohn Gass,RS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,7500,0.8594
Bohn Gass,RS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,7500,0.8594
Bohn Gass,RS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,5642.51,0.8556
Bohn Gass,RS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,5633.9,0.8523
Dagoberto Nogueira,MS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,8000,0.8444
Dagoberto Nogueira,MS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,8000,0.8444
Dagoberto Nogueira,MS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,8000,0.8444
Dagoberto Nogueira,MS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,8000,0.8444
Dagoberto Nogueira,MS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,8000,0.8444
Bohn Gass,RS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,5610.07,0.8434
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,376.02,0.8376
Dagoberto Nogueira,MS,TELEFONIA,1534.49,0.8364
Sargento Portugal,RJ,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,0.8301
Sargento Portugal,RJ,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,0.8301
Sargento Portugal,RJ,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,0.8301
Sargento Portugal,RJ,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,0.8301
Sargento Portugal,RJ,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,0.8301
Sargento Portugal,RJ,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,0.8301
Sargento Portugal,RJ,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,0.8301
Sargento Portugal,RJ,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,0.8301
Sargento Portugal,RJ,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,0.8301
Sargento Portugal,RJ,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,0.8301
Sargento Portugal,RJ,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,0.8301
Sargento Portugal,RJ,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,0.8301
Gilberto Nascimento,SP,PASSAGEM AÉREA - SIGEPA,1892.21,0.8253
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,374.06,0.8209
Dagoberto Nogueira,MS,TELEFONIA,1522.51,0.8197
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,2356.07,0.8163
Dagoberto Nogueira,MS,TELEFONIA,1519.51,0.8156
Fausto Pinato,SP,PASSAGEM AÉREA - SIGEPA,1873.72,0.8126
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,2333.41,0.801
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,1844.82,0.7928
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,1844.82,0.7928
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,1832.22,0.7842
Gilberto Nascimento,SP,PASSAGEM AÉREA - SIGEPA,1824.21,0.7787
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,367.26,0.7632
Sargento Portugal,RJ,PASSAGEM AÉREA - SIGEPA,2273.47,0.7607
Dagoberto Nogueira,MS,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,129.9,0.7587
Filipe Martins,TO,PASSAGEM AÉREA - SIGEPA,3020.04,0.7467
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,283.99,0.7335
Pedro Paulo,RJ,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,11503,0.7303
Dagoberto Nogueira,MS,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,15775,0.7303
Dagoberto Nogueira,MS,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,15775,0.7303
Pedro Paulo,RJ,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,11503,0.7303
Dagoberto Nogueira,MS,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,15775,0.7303
Pedro Paulo,RJ,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,11503,0.7303
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,2213.35,0.7203
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",37.23,0.7136
Welter,PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,5000,0.7085
